he;e
has;as
ha;a
han;an
hemos;emos
mentir;mintir
mentiré;mintire
abalanzar;ekilibrar
abarcar;abrasar
abordar;abodrar
abrazar;abrasar
abrir;avrir
abrochar;abrokar
aburrir;enfasyar
acabar;akabar
acampar;akampar
reconocer;rekonoser
acariciar;akarisiar
acceder;acseder
acelerar;aselerar
acentuar;aksantuar
aceptar;aseptar
acercar;aserkar
acomodar;akomodar
acompañar;akompanyar
aconsejar;akonsejar
acoplar;akoplar
acordar;akordar
acortar;akortar
acosar;akosar
acostumbrar;akostumbrar
acreditar;akreditar
activar;aktivar
actuar;aktuar
acudir;akudir
acusar;akusar
admitir;akseptar
advertir;avertir
afectar;afektar
afilar;aguzar
afligir;aflijar
agitar;adjitar
agobiar;oprimir
agradecer;agradeser
aguantar;agantar
aguardar;agadrar
ahorcar;pender
ahorrar;ekonomizar
ajuar;ashugar
alcanzar;alkansar
alejar;aleshar
aligerar;alidjerar
aliñar;alinyar
almacenar;almasenar
almorzar;komer
almíbar;komposto
alquilar;alkilar
amanecer;amaneser
andar;irse
anhelar;anelar
animar;enkorajar
anteayer;antiyer
anticipar;antisipar
anunciar;anunsiar
apagar;amatar
aparecer;apareser
apostillar;notar
apoyar;arrimar
apreciar;apresiar
aprender;ambezar
aprobar;reushir
aprovechar;profitar
arañar;aranyar
arder;adrer
arrestar;arestar
arrojar;echar
asesinar;asasinar
asociar;asosiar
asustar;espantar
atacar;atakar
atender;asistir
atrasar;atrazar
atravesar;traversar
aturdir;atudrir
augurar;ogurar
autocar;otobus
avanzar;avansar
averiar;aharientar
azorar;aturvar
añadir;anyadir
añorar;anyorar
bailar;baylar
bajar;abashar
balancear;balansear
balbucear;tartalear
bañar;banyar
beber;bever
bendecir;bendizirs
beneficiar;benefisiar
besar;bezar
bloquear;blokear
bordar;bodrar
bramar;gritar
brillar;briyar
broncear;bronsear
bucear;busear
buscar;bushkar
caber;kaver
caer;kayer
calcular;kalkular
caldear;kaldear
calificar;kalifikar
callar;kayar
calmar;kalmar
cambiar;trokar
caminar;kaminar
cancelar;kanselar
candar;kandar
cansar;kansar
cantar;kantar
capitular;kapitular
capturar;kapturar
cargar;kargar
carácter;karakter
casar;cazar
catar;degustar
causar;kausar
cautivar;kautivar
cavar;kavar
cazar;kasar
ceder;seder
celebrar;selebrar
cenar;komer
censurar;sensurar
centrar;sentrar
cepillar;sepiyar
cerrar;serrar
cesar;sesar
charlar;karlar
chatear;katear
chillar;echar chiyo
chocar;chaptear
chupar;kupar
cifrar;sifrar
circular;zirkular
citar;sitar
cobrar;kobrar
cocinar;gizar
coincidir;koinsidir
colaborar;kolaborar
coleccionar;kolecsionar
colgar;enkolgar
colorear;kolorear
combatir;kombatir
combinar;kombinar
comentar;komentar
comer;komer
comerciar;komersiar
cometer;kometer
comparar;komparar
compartir;kompartir
compensar;kompensar
compilar;kompilar
completar;kompletar
comportar;komportar
comprar;merkar
comprender;entender
comprimir;komprimir
comprometer;komprometer
comunicar;komunikar
conceder;konseder
concentrar;konsentrar
condenar;kondenar
condicionar;kondisionar
conducir;konduzir
conectar;konektar
confiar;konfiar
configurar;konfigrar
confirmar;konfirmar
confundir;konfundir
congelar;kondjelar
conjeturar;konjeturar
conocer;konoser
conquistar;konkistar
consentir;konsentir
conservar;konservar
considerar;konsiderar
consistir;konsistir
consolar;konsolar
consolidar;konsolidar
constatar;konstatar
construir;fraguar
consultar;konsultar
consumir;konsumir
contactar;kontaktar
contaminar;kontaminar
contar;kontar
contemplar;kontemplar
contener;kontener
contentar;kontentar
contestar;replikar
continuar;kontinuar
contratar;kontratar
controlar;kontrolar
convencer;konvenser
conversar;konversar
convidar;combidar
convivir;konvivir
cooperar;kooperar
coordinar;koodrinar
copiar;kopiar
coquetear;koketear
coronar;koronar
corregir;korijar
correr;korrer
corresponder;korresponder
corroborar;konfirmar
corromper;korromper
cortar;kortar
cosechar;kosekar
coser;koser
costar;kostar
crear;krear
crecer;kreser
creer;kreer
crujir;krujir
cruzar;pasar enfrente
cuajar;kuajar
cualquier;kualkier
cubrir;kubrir
cuidar;kuidar
culpar;kulpar
cultivar;kultivar
cumplir;kumplir
curar;kurar
dañar;danyar
deceder;murir
decepcionar;desepsionar
decidir;desidir
decorar;dekorar
degustar;degstar
dejar;deshar
desaconsejar;desakonsejar
desanimar;deskorajar
desarrollar;desarroyar
desayunar;dezayunar
descansar;deskansar
descarrilar;deskarrilar
desconectar;deskonektar
descongelar;deskondjelar
describir;deskrivir
descubrir;deskuvrir
desear;dezeyar
despachar;espedir
despejar;aklarar
despertar;espertar
despeñar;echar kon fuersa
detectar;detektar
dictar;diktar
diferenciar;diferensyar
discriminar;diskriminar
disculpar;eskuzar
discutir;diskutir
diseñar;disenyar
disfrutar;gozar
disparar;tirar
disponer;dispozar
divorciar;divorsiar
dormir;durmir
ejecutar;ejekutar
ejemplar;egzemplar
ejercitar;ejersitar
elegir;elijir
emancipar;emansipar
embargar;apanyar
embestir;asaltar
embrollar;embroyar
empezar;empesar
empeñar;empenyar
empujar;arrondjar
encajar;enkajar
encantar;enkantar
encender;asender
enchufar;enkufar
encontrar;topar
encuestar;enkuestar
enfocar;enfohar
enganchar;engankar
engañar;enganyar
engendrar;enjendrar
engordar;engodrar
enhebrar;enebrar
enloquecer;enlokeser
ensanchar;ensankar
enseñar;ensenyar
ensuciar;ensuziar
entrañar;entranyar
entretener;azer pasar el tiempo
enviar;embiar
escalar;eskalar
escaldar;eskaldar
escalonar;eskalonar
escapar;eskapar
escoger;eskojer
esconder;eskonder
escribir;eskrivir
escuchar;oyir
escupir;eskupir
esgrimir;menear
especular;espekular
esperar;asperar
establecer;estableser
estacionar;estasionar
estallar;estayar
estofar;eskaldar
evidenciar;averdadear
evolucionar;evolusionar
exagerar;eksadjerar
examinar;eksaminar
excavar;ekskavar
excitar;ekssitar
exclamar;eksclamar
excusar;ekskusar
exhalar;eksalar
exhibir;eksibir
exiliar;eksziliar
existir;eksistir
expandir;espandir
experimentar;eksperimentar
expirar;murir
explicar;eksplika
explorar;eksplorar
explotar;eksplotar
exponer;ekspozar
exportar;eksportar
expresar;ekspresar
exprimir;eksprimir
expulsar;ekspulsar
extrañar;ekstranyar
facilitar;fasilitar
facturar;fakturar
fallar;fayar
fallecer;murir
faltar;mankar
fascinar;fassinar
felicitar;felisitar
figurar;figrar
financiar;finansiar
fracasar;frakasar
funcionar;funsionar
generar;djenerar
gestionar;djestionar
girar;djirar
guardar;guadrar
guisar;gizar
gustar;plazer
habitar;abitar
habituar;abituar
hablar;avlar
hallar;topar
herir;ferir
hervir;buyir
huir;fuyir
humillar;arrebashar
hundir;undir
imaginar;imadjinar
impedir;empedir
imponer;forsar
inaugurar;inaugrar
inclinar;enklinar
incluir;inkluir
incorporar;inkorporar
incrementar;inkrementar
inflar;unflar
inhalar;inalar
iniciar;inisiar
inspeccionar;inspecsionar
intensificar;intensifikar
intercambiar;interkambiar
interponer;enkashar
introducir;introduzir
invertir;investir
inyectar;inyektar
irrigar;arrufyar
jactarse;jaktarse
jalear;enkorajar
jugar;djugar
jurar;djurar
lacrar;aharvar
lanzar;lansar
leer;meldar
legitimar;ledjitimar
levantar;alevantar
liquidar;likidar
llamar;yamar
llegar;ayegar
llenar;inchar
llevar;yevar
llorar;yorar
llover;azer luvya
lloviznar;yoviznar
luchar;lukar
lucir;briyar
manchar;mankar
maquillar;makiyar
maravillar;maraviyar
marchar;markar
mascar;mashkar
matricular;matrikular
medir;mesurar
mencionar;mensionar
merecer;mereser
mezclar;mesklar
montar;suvir
morir;murir
mover;meter en movimiento
nacer;naser
necesitar;nesesitar
negar;enyegar
negociar;negosiar
nevar;inyeve
obedecer;obeisar
obligar;ovligar
ocultar;okultar
ocupar;okupar
ocurrir;akonteser
ofrecer;ofrir
oler;goler
oponer;opozar
orar;orasionar
ordenar;odrenar
oscilar;ossilar
oxidar;oksidar
pacer;komer yerva
parecer;pareser
participar;partisipar
pastar;komer yerva
pedir;demandar
percibir;persibir
perder;pedrer
perdonar;pedronar
perfeccionar;perfecsionar
permanecer;kedar
pescar;peshkar
pillar;piyar
pinchar;pinkar
piropear;azer shakaruka
placer;plazer
planchar;plankar
plantear;estableser
poder;pueder
polucionar;polusionar
poner;meter
poseer;posedar
practicar;pratikar
preferir;preferar
preguntar;demandar
preocupar;preokupar
preparar;aparejar
presentar;prezentar
preservar;prezervar
proceder;proseder
procesar;prosesar
procurar;prokurar
producir;produzir
prolongar;prolungar
pronunciar;pronunsiar
proponer;propozar
proporcionar;proporsionar
proseguir;kontinuar
proyectar;proyektar
publicar;publikar
quedar;kedar
quemar;kemar
quitar;kitar
rallar;rayar
rasgar;arrazgar
reaccionar;reacsionar
recelar;reselar
recibir;resivir
reciclar;resiclar
recoger;tomar
reconquistar;rekonkistar
recopilar;rekopilar
recordar;akodrar
recorrer;rekorrer
recuperar;rekuperar
redactar;redaktar
reducir;enchikeser
reemplazar;meter en lugar de
refrigerar;refridjerar
regalar;arregalar
regar;arrufyar
registrar;redjistrar
regresar;tornar
regular;reglar
rehusar;refuzar
relacionar;relasionar
rellenar;inchir
rematar;arrematar
rendir;render
renovar;renovelar
renunciar;renunsiar
repetir;repetar
replicar;replikar
reprochar;reprokar
resolver;rezolver
restaurar;restorar
retratar;azer portreto
reventar;arreventar
revolver;aboltar
rezar;arrogar
robar;rovar
rodear;entornar
saciar;sasiar
sacudir;sakudir
salpicar;arrufiar
secar;sekar
seguir;siguir
seleccionar;selecsionar
sentar;asentar
sentir;asentir
señalar;senyalar
significar;sinyifikar
silbar;chuflar
socorrer;sokorrer
solicitar;solisitar
solucionar;solusionar
sospechar;sospekar
soñar;sonyar
subsanar;enderechar
subsistir;turar
suceder;suseder
sugerir;sugjerar
sujetar;aferrar
suponer;supozar
surcar;arar la mar
surgir;surjir
tardar;tadrar
tañer;tanyer
temblar;tremblar
tercer;treser
terminar;eskapar
titubear;pedrer el ekilibro
trabajar;lavorar
traducir;traduizir
traer;truer
traicionar;traisionar
tranquilizar;trankilizar
tricotar;trikotar
tutear;tutuayar
unir;aunar
urdir;udrir
usar;uzar
utilizar;kullanear
vacilar;vasilar
vigilar;vidjilar
vincular;vinkular
vivir;bivir
volver;tornar
haber;aver
hay;ay
había;avia
habia;avia
hubo;uvo
habra;avra
habras;avras
habrá;avra
habría;avria
hacer;azer
haciendo;aziendo
hago;ago
haces;azes
hace;aze
hacemos;azemos
hacéis;azesh
hacen;azen
hacía;azia
hacías;azias
hacía;azia
hacíamos;aziamos
